symbol,industry,sector_name,assignment_count,is_unique_assignment
00146.HK,家庭装饰品,GICS4家庭装饰品,1,True
00147.HK,房地产开发,GICS4房地产开发,1,True
00148.HK,电子元件,GICS4电子元件,1,True
00149.HK,房地产经营公司,GICS4房地产经营公司,1,True
00150.HK,互动媒体与服务,GICS4互动媒体与服务,1,True
00151.HK,食品分销商,GICS4食品分销商,1,True
00152.HK,航空货运与物流,GICS4航空货运与物流,1,True
00154.HK,环境与设施服务,GICS4环境与设施服务,1,True
00156.HK,食品分销商,GICS4食品分销商,1,True
00157.HK,个人护理用品,GICS4个人护理用品,1,True
00158.HK,房地产经营公司,GICS4房地产经营公司,1,True
00159.HK,钢铁,GICS4钢铁,1,True
00160.HK,房地产开发,GICS4房地产开发,1,True
00161.HK,电子设备和仪器,GICS4电子设备和仪器,1,True
00162.HK,多品类零售,GICS4多品类零售,1,True
00163.HK,多元化房地产业务,GICS4多元化房地产业务,1,True
00164.HK,电脑硬件、储存设备及电脑周边,GICS4电脑硬件、储存设备及电脑周边,1,True
00165.HK,综合性资本市场,GICS4综合性资本市场,1,True
00166.HK,贸易公司与经销商,GICS4贸易公司与经销商,1,True
00167.HK,消费电子产品,GICS4消费电子产品,1,True
00168.HK,啤酒酿造商,GICS4啤酒酿造商,1,True
00169.HK,房地产开发,GICS4房地产开发,1,True
